grid_search_id,fold,final_train_loss,final_val_loss,best_val_loss,best_epoch,actual_epochs,num_epochs,stopped_early,optimizer,learning_rate,loss_function,model_path,mae,mse,rmse,r2,mape,model_name,n_d,n_a,n_steps
9,4,2.5524813436242844,1.253968596458435,1.238559603691101,12,22,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0009_fold4,1.238559603691101,2.340085029602051,1.5297336466202378,0.64559006690979,34.827656,TabNetRegressor,8,64,7
9,5,2.6687639704585133,1.431593418121338,1.2191317081451416,42,52,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0009_fold5,1.2191317081451416,2.35027813911438,1.5330616879677021,0.6796395778656006,35.590206,TabNetRegressor,8,64,7
10,1,2.465364829188719,1.325631022453308,1.2806408405303955,17,27,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0010_fold1,1.2806408405303955,2.5499837398529053,1.5968668510094715,0.6660106778144836,34.76729,TabNetRegressor,32,8,3
10,2,2.4653596605517594,1.278218388557434,1.2368899583816528,12,22,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0010_fold2,1.2368899583816528,2.387725591659546,1.545226712058637,0.6715301275253296,33.38454,TabNetRegressor,32,8,3
10,3,2.513594895869761,1.236151099205017,1.2318583726882935,6,16,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0010_fold3,1.2318583726882935,2.4302990436553955,1.5589416421583573,0.6661978363990784,33.10821,TabNetRegressor,32,8,3
10,4,2.5344502123333603,1.271579384803772,1.2332005500793457,15,25,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0010_fold4,1.2332005500793457,2.3598458766937256,1.5361789858912032,0.6425973176956177,35.26261,TabNetRegressor,32,8,3
10,5,2.554871637797768,1.2234978675842285,1.2219668626785278,7,17,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0010_fold5,1.2219668626785278,2.3678746223449707,1.538789986432512,0.6772410869598389,33.10325,TabNetRegressor,32,8,3
11,1,2.4527730229892035,1.2846994400024414,1.2809078693389893,22,32,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0011_fold1,1.2809078693389893,2.5823891162872314,1.6069813677473772,0.6617662906646729,36.058155,TabNetRegressor,32,8,5
11,2,2.5363009736679363,1.2574827671051025,1.232624888420105,30,40,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0011_fold2,1.232624888420105,2.375523328781128,1.541273281667183,0.6732087731361389,33.35975,TabNetRegressor,32,8,5
11,3,2.527628961649361,1.2894959449768066,1.2292641401290894,28,38,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0011_fold3,1.2292641401290894,2.3695805072784424,1.5393441809025175,0.6745375394821167,34.32998,TabNetRegressor,32,8,5
11,4,2.490779995569587,1.2500157356262207,1.2404942512512207,14,24,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0011_fold4,1.2404942512512207,2.3836965560913086,1.5439224579269868,0.6389850378036499,35.222683,TabNetRegressor,32,8,5
11,5,2.542712110863928,1.2588891983032227,1.2234851121902466,18,28,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0011_fold5,1.2234851121902466,2.3486735820770264,1.5325382807868215,0.6798583269119263,34.647266,TabNetRegressor,32,8,5
12,1,2.7029111773643884,1.2858563661575317,1.275269865989685,17,27,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0012_fold1,1.275269865989685,2.6048378944396973,1.613951019839108,0.6588260531425476,37.57235,TabNetRegressor,32,8,7
12,2,2.533852926050415,1.2393641471862793,1.2344088554382324,16,26,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0012_fold2,1.2344088554382324,2.4402403831481934,1.562126878057027,0.6643059253692627,35.444347,TabNetRegressor,32,8,7
12,3,2.5331355204592825,1.257534384727478,1.2458693981170654,16,26,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0012_fold3,1.2458693981170654,2.4526968002319336,1.5661088085544803,0.6631214618682861,34.663235,TabNetRegressor,32,8,7
12,4,2.495069138471239,1.2448556423187256,1.2411266565322876,25,35,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0012_fold4,1.2411266565322876,2.3553850650787354,1.534726381176376,0.643272876739502,34.347633,TabNetRegressor,32,8,7
12,5,2.5006261026965273,1.2472604513168335,1.2200525999069214,37,47,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0012_fold5,1.2200525999069214,2.3418798446655273,1.5303201771738904,0.6807843446731567,35.139683,TabNetRegressor,32,8,7
