grid_search_id,fold,final_train_loss,final_val_loss,best_val_loss,best_epoch,actual_epochs,num_epochs,stopped_early,optimizer,learning_rate,loss_function,model_path,mae,mse,rmse,r2,mape,model_name,hidden_features,dropout,activation
14,1,1.348166725528774,1.4053471193594091,1.3521270506522234,47,57,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0014_fold1.pt,1.3500624895095825,2.9400715827941895,1.7146636937878488,0.6149181127548218,38.352024,SimpleMLP,256,0.3,ReLU
14,2,1.3455265048724503,1.2814655970124638,1.2774242618504692,55,65,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0014_fold2.pt,1.2817654609680176,2.6557371616363525,1.6296432620780392,0.6346608400344849,35.92331,SimpleMLP,256,0.3,ReLU
14,3,1.383206189568363,1.3054083971416248,1.2886572515263277,39,49,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0014_fold3.pt,1.294412612915039,2.795541524887085,1.6719872980639192,0.6160316467285156,36.34069,SimpleMLP,256,0.3,ReLU
14,4,1.3675946940237016,1.3068992144921248,1.2912554039674646,48,58,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0014_fold4.pt,1.2934062480926514,2.6914939880371094,1.6405773337569642,0.5923686027526855,35.17192,SimpleMLP,256,0.3,ReLU
14,5,1.362563868067158,1.2611941730274874,1.2521558018291699,56,66,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0014_fold5.pt,1.2565782070159912,2.5067996978759766,1.5832876232308444,0.6583045721054077,34.734253,SimpleMLP,256,0.3,ReLU
15,1,1.3539039910729251,1.3697041308178621,1.3384183715371525,75,85,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0015_fold1.pt,1.3347758054733276,2.9263663291931152,1.7106625410036649,0.6167131662368774,38.225773,SimpleMLP,256,0.4,ReLU
15,2,1.3625631279020167,1.2811964960659252,1.268049857195686,97,100,100,False,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0015_fold2.pt,1.2856440544128418,2.677194833755493,1.636213566058995,0.6317089796066284,34.44911,SimpleMLP,256,0.4,ReLU
15,3,1.3941840253659148,1.2954772903638727,1.2713930974988377,60,70,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0015_fold3.pt,1.2779428958892822,2.6339404582977295,1.6229419146407333,0.6382275819778442,36.655445,SimpleMLP,256,0.4,ReLU
15,4,1.3726951524392883,1.2923801891943987,1.2909437838722677,56,66,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0015_fold4.pt,1.291857123374939,2.6688036918640137,1.6336473584785713,0.5958051085472107,36.497902,SimpleMLP,256,0.4,ReLU
15,5,1.376664673214528,1.250554505516501,1.245861646007089,68,78,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0015_fold5.pt,1.2491470575332642,2.477323293685913,1.5739514902581697,0.6623224020004272,35.64695,SimpleMLP,256,0.4,ReLU
16,1,1.4629597316926986,1.4462910469840555,1.4430938047521256,98,100,100,False,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0016_fold1.pt,1.446370005607605,4.874600410461426,2.207849725516079,0.36153924465179443,36.915295,SimpleMLP,256,0.2,Tanh
