grid_search_id,fold,final_train_loss,final_val_loss,best_val_loss,best_epoch,actual_epochs,num_epochs,stopped_early,optimizer,learning_rate,loss_function,model_path,mae,mse,rmse,r2,mape,model_name,d_model,n_heads,num_layers
14,4,1.266522406197306,1.287444672163795,1.2680596393697403,33,43,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0014_fold4.pt,1.2663487195968628,2.547454833984375,1.5960748209229965,0.6141835451126099,35.355293,SimpleTabTransformer,128,4,2
14,5,1.2751786103889124,1.2617961168289185,1.2343706488609314,35,45,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0014_fold5.pt,1.235853910446167,2.533546209335327,1.5917117230627307,0.6546587944030762,35.92485,SimpleTabTransformer,128,4,2
15,1,1.8433326447187965,1.8579046480795915,1.8566600224551033,7,17,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0015_fold1.pt,1.8589529991149902,7.716739177703857,2.777901938100742,-0.010715603828430176,57.35712,SimpleTabTransformer,128,4,3
15,2,1.4387686065773466,1.4445736864033867,1.4224626667359297,30,40,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0015_fold2.pt,1.4305412769317627,4.6593918800354,2.158562456829869,0.35902613401412964,39.71163,SimpleTabTransformer,128,4,3
15,3,1.8444609615340162,1.8574237788424772,1.8348106636720545,14,24,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0015_fold3.pt,1.8383346796035767,7.3894572257995605,2.7183556106218996,-0.014943838119506836,58.75231,SimpleTabTransformer,128,4,3
15,4,1.4471803343118126,1.416512619046604,1.267490194124334,54,64,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0015_fold4.pt,1.2640246152877808,2.556489944458008,1.5989027313936293,0.6128152012825012,37.76165,SimpleTabTransformer,128,4,3
15,5,1.302579341539696,1.2584341974819409,1.2238685769193314,79,89,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0015_fold5.pt,1.2238492965698242,2.4927480220794678,1.5788438878114162,0.6602199077606201,36.774372,SimpleTabTransformer,128,4,3
16,1,1.2589218002646716,1.3293153783854317,1.302198020850911,21,31,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0016_fold1.pt,1.2981077432632446,2.720984697341919,1.6495407534650117,0.6436134576797485,37.57532,SimpleTabTransformer,128,8,1
16,2,1.2608533043469956,1.2527143008568709,1.2369811605004704,26,36,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0016_fold2.pt,1.2418909072875977,2.5465078353881836,1.5957781284966226,0.6496871113777161,36.257572,SimpleTabTransformer,128,8,1
16,3,1.254932259000949,1.2578184324152328,1.2410764483844532,34,44,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0016_fold3.pt,1.247403860092163,2.4613587856292725,1.5688718193750797,0.6619317531585693,36.03502,SimpleTabTransformer,128,8,1
16,4,1.252599692611552,1.4136280978427214,1.2639139925732332,26,36,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0016_fold4.pt,1.261791467666626,2.530182361602783,1.59065469590442,0.6167995929718018,34.630215,SimpleTabTransformer,128,8,1
16,5,1.2570415477254497,1.2628972460241878,1.2291030392927282,33,43,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0016_fold5.pt,1.229048252105713,2.4627156257629395,1.5693041852244387,0.664313554763794,36.254673,SimpleTabTransformer,128,8,1
17,1,1.2449050069744907,1.2907318192369797,1.2853191740372603,47,57,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0017_fold1.pt,1.28205406665802,2.6408238410949707,1.6250611807236583,0.654112696647644,37.79867,SimpleTabTransformer,128,8,2
17,2,1.61130585332415,1.5297585515414966,1.2357820798369015,34,44,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0017_fold2.pt,1.241381287574768,2.4969208240509033,1.580164809142041,0.6565085649490356,35.6807,SimpleTabTransformer,128,8,2
17,3,1.3638029543321524,1.504711017889135,1.2434545878101797,47,57,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0017_fold3.pt,1.251193881034851,2.5566813945770264,1.5989625994928793,0.6488392353057861,36.47998,SimpleTabTransformer,128,8,2
